sign,date,prediction
aries,2021-01-01,"Вы уверенно ступили в новый 2021 год, и стоит продолжать в том же духе – подумайте, какие мероприятия подкрепят вашу самооценку и запланируйте их на ближайшее будущее. Также звезды советуют больше общаться, обмениваться мнениями и активнее проводить время – все это позволит не потерять новогоднее настроение. К тому же в это волшебное время можно познакомиться с родственной душой."
aries,2021-01-02,"Ваш дом – ваша крепость. Сегодня вам не захочется выходить за пределы своей теплой «берлоги», но этого и не потребуется. Наводите порядок, создавайте уют и отдыхайте. А вот садиться в кресло лидера и раздавать свои указы, контролировать близких – такая тактика до добра не доведет. От рискованных действий и авантюр тоже стоит отказаться – вы сможете добиться своего мягкими методами, без серьезных потерь."
aries,2021-01-03,"Новы год – не только веселый праздник, но и долгая стрессовая ситуация. Можете выдохнуть: новогодняя суета позади, и теперь вы можете расслабиться и насладиться следующими свободными деньгами. Также звезды советуют играть только вторые роли, быть ведомыми в любых отношениях и не высовываться в сложных ситуациях. Полезно заниматься рутинными бытовыми делами, убирать последствия веселых дней."
aries,2021-01-04,"Энергия разрывает вас на части и толкает на инициативы и навязчивую помощь близкому. Новые идеи и предложения будут сыпаться на вашу голову, и главное сейчас – понять, какие выгорят, а какие не стоят вашего внимания. Чаще общайтесь с незнакомцами – таким образом вы можете притянуть к себе головокружительные перспективы. Авторитетных знакомых тоже не обходите стороной – в будущем они могут быть полезными."
aries,2021-01-05,"Сегодня Овны окунутся в мир романтики, загадок и интриг. Простор будет не только для мыслей, но и для любовных действий. Можно найти кого-то необычного в этот момент, но звезды предупреждают – потенциальный партнер будет что-то утаивать от вас. А тем, кто уже пребывает в отношениях, стоит быть аккуратнее с чувствами и эмоциями – их многообразие может нарушить вашу идиллию. В работе же нужно контролировать все процессы, а не бросать дела на самотек."
aries,2021-01-06,"Слишком конфликтный день, когда обычный разговор может перелиться в выяснение отношений, а позже – в серьезный конфликт. Поэтому общаться стоит очень осторожно, учитывая малейшие эмоции оппонента. Также стоит отнестись ко всем переменам позитивно – в каждой ситуации можно найти плюсы и выгодные возможности. Сложные решения, которых сегодня будет немало, стоит принимать, отбрасывая все эмоции, иначе позже вы о них пожалеете."
aries,2021-01-07,"Сегодня звезды настроены помогать вам, но лично вы можете создать себе собственными руками бесконечное количество проблем. Поэтому будьте осторожнее в решениях, выводах и общении. То, что в вашей жизни в этот момент играет огромную роль, может иметь скрытый смысл, который будет понятен позже. Также звезды советуют быть начеку – сейчас ситуации в жизнях других людей могут задеть ваши интересы."
aries,2021-01-08,"У вас появился шанс исполнить все свои мечты – фортуна, как и звезды, на вашей стороне. Главное – не сидеть, сложа руки, а активно тянуться к своей заветной цели. Также сегодня можно найти ответы на самые сложные вопросы, найти решение самых трудных проблем, познакомиться с авторитетными людьми, поменять свой взгляд на мир и понять замыслы Вселенной."
aries,2021-01-09,"Стоит быть осторожнее со своим мнением – сегодня вы можете не только высказывать его, но и давить им на окружающих. Лучше опирайтесь на логику, факты и общайтесь с людьми мягко, высказывая догадки, иначе можете разругаться в пух и прах с самыми близкими. Кстати, звезды подготовили вам немало испытаний на этот день, но вы справитесь со всем, приобретете бесценный опыт и измените сове отношение к некоторым вещам."
aries,2021-01-10,"Расставляйте приоритеты и наводите порядок в тех сферах жизни, которые сильно страдают. Также сейчас очень важно работать на перспективу, чтобы будущее было стабильным и безопасным. Звезды, кстати, подкинут вам немало шансов изменить свое настоящее и преуспеть в карьере – обязательно воспользуйтесь ими. А вот в личных отношениях уже царит мир, любовь и взаимопонимание. Наслаждайтесь этим временем."
aries,2021-01-11,"Сегодня вам хочется рвать и метать, проталкивая свое мнение в каждую щель, но так вы можете лишь нажить врагов, не добившись своего. Поэтому контролируйте свои эмоции, действуйте методом мягкой силы. Также звезды советуют отдаваться делу на все сто процентов, меньше халтурить – это поможет вам не только на рабочем месте, но и в личной жизни. Меньше критикуйте всех вокруг и настраивайтесь на позитив."
aries,2021-01-12,"У нас Новолуние на носу, и сейчас самое время отдать долги и выполнить обещания (те, что дали самому себе – тоже). Полезно общаться с начальством, укреплять отношения и производить хорошее впечатление – все это может обернуться для вас повышением. А вот принимать решение сейчас не стоит, иначе в будущем можно пожалеть. Доверять незнакомцам тоже нежелательно: каждый норовит вас обмануть. "
aries,2021-01-13,"Пришло время начинать новую жизнь с чистого листа, поэтому соберите волю в кулак и идите сдвигать горы. Полезно браться за новые дела – звезды помогут вам справиться с ними быстро и удачно. Продолжать прежние дела тоже хорошо – вы доведете до ума все задачи. А проблемы и преграды на пути вам не страшны: сейчас вы настолько уверенны в себе, что сможете справиться с любыми неприятностями."
aries,2021-01-14,"В вашей жизни происходит что-то очень интересное – поздравляем! И, возможно, какое-то неожиданное событие заставит вас отдать все свое время и внимание. Поэтому другие важные дела придется оставить «за бортом», чтобы не мешали. Если попытаетесь контролировать все и сразу, рискуете удариться о стену чужого мнения и чужих интересов. Лично звезды не советуют рисковать."
aries,2021-01-15,"Желание раздуть из мухи слона будет блуждать за вами. Отгоняйте его всеми силами, иначе рискуете испортить отношения, свое ментальное здоровье, карьеру и еще много всего очень важного. Отличное время, чтобы экспериментировать в делах, постели – да где угодно. А мысли лучше записывать – на ум придет много отличных идей, которые «выстрелят» позже."
